generation,train,validation,test,validmse,testAvrMse
83,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
84,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
85,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
86,0.79645921705,0.712674279283,0.266779457351,0.0207037108714,0.0683042560201
87,0.79493912669,0.710325813591,0.273068399237,0.0208941864648,0.067718400235
88,0.79493912669,0.710325813591,0.273068399237,0.0208941864648,0.067718400235
89,0.798803836371,0.710638062362,0.266721618008,0.0208316853245,0.0683096441306
90,0.806797416048,0.706345098739,0.240921615722,0.0210525201241,0.0707130819218
91,0.806533255734,0.711262559903,0.254028055551,0.0207066830439,0.0694921319217
92,0.779381508849,0.671508363823,0.286743325709,0.0235729037381,0.0664444920117
93,0.773996708807,0.668847649361,0.299379048824,0.0238258804717,0.065267392331
94,0.775161372072,0.661519297432,0.332052864589,0.0242639856323,0.0622236141668
95,0.796359488444,0.704027101429,0.290790549173,0.0213948535717,0.0660674668582
96,0.801872270234,0.695325128258,0.287599272463,0.0219300654176,0.0663647550119
97,0.801872270234,0.695325128258,0.287599272463,0.0219300654176,0.0663647550119
98,0.814301386949,0.706267156166,0.287356522008,0.0211825745522,0.0663873687935
99,0.799433451705,0.674970071509,0.294801544301,0.0233130753708,0.0656938166094
100,0.820282019783,0.707013841078,0.286211846287,0.0211118148791,0.0664940027719
101,0.820282019783,0.707013841078,0.286211846287,0.0211118148791,0.0664940027719
102,0.813847599666,0.692076419804,0.296845383084,0.0221501410616,0.0655034197515
103,0.820337642718,0.703380236185,0.293479861858,0.0213448315657,0.0658169399137
104,0.820337642718,0.703380236185,0.293479861858,0.0213448315657,0.0658169399137
105,0.810712004259,0.691193669634,0.284616591417,0.0222131968025,0.0666426111247
106,0.820282019783,0.707013841078,0.286211846287,0.0211118148791,0.0664940027719
107,0.820282019783,0.707013841078,0.286211846287,0.0211118148791,0.0664940027719
108,0.820282019783,0.707013841078,0.286211846287,0.0211118148791,0.0664940027719
109,0.820282019783,0.707013841078,0.286211846287,0.0211118148791,0.0664940027719
110,0.820514104163,0.704115384553,0.277061218227,0.0212877847275,0.0673464432116
111,0.820282019783,0.707013841078,0.286211846287,0.0211118148791,0.0664940027719
112,0.820282019783,0.707013841078,0.286211846287,0.0211118148791,0.0664940027719
