generation,train,validation,test,valid_mse,test_mse
221,0.634411514849,0.520602580026,0.189110707263,0.0328353690434,0.0755396045711
222,0.634411514849,0.520602580026,0.189110707263,0.0437720744437,0.0755396045711
223,0.643568720548,0.550634900633,0.190445273553,0.0328353690434,0.0754152810528
224,0.643568720548,0.550634900633,0.190445273553,0.0327841926517,0.0754152810528
225,0.648834526724,0.549746116166,0.205192274811,0.0328353690434,0.0740415020997
226,0.646201623636,0.550190508399,0.197818774182,0.0328353690434,0.0747283915762
227,0.648834526724,0.549746116166,0.205192274811,0.0328353690434,0.0740415020997
228,0.651467429812,0.549301723933,0.212565775439,0.0328353690434,0.0733546126232
229,0.647880800219,0.555325746511,0.198869554426,0.0328353690434,0.0746305045713
230,0.647880800219,0.555325746511,0.198869554426,0.0328353690434,0.0746305045713
231,0.644294170626,0.561349769089,0.185173333414,0.0328353690434,0.0759063965195
232,0.659583407237,0.581225989251,0.158296474099,0.0328353690434,0.0784101505374
233,0.674783699712,0.591456099169,0.129954351029,0.0316521321859,0.0810504033913
234,0.685585907958,0.591797220401,0.238344658554,0.0246948269334,0.07095314222
235,0.684564790427,0.589432161671,0.171217737436,0.025998058579,0.0772064509303
236,0.6565052046,0.550057718762,0.237377136693,0.0328353690434,0.0710432731657
237,0.6565052046,0.550057718762,0.237377136693,0.0328353690434,0.0710432731657
238,0.653986317206,0.549679721347,0.224971456066,0.0328353690434,0.0721989428945
239,0.6565052046,0.550057718762,0.237377136693,0.0328353690434,0.0710432731657
240,0.663136917461,0.545037312176,0.269822120584,0.0344761965747,0.068020812177
241,0.659024091994,0.550435716177,0.24978281732,0.0331009183057,0.069887603437
242,0.653986317206,0.549679721347,0.224971456066,0.0328353690434,0.0721989428945
243,0.638400641426,0.515887739594,0.246284956381,0.0453948494331,0.070213451903
244,0.6565052046,0.550057718762,0.237377136693,0.0331009183057,0.0710432731657
245,0.649091687451,0.554809039286,0.220343054416,0.0317095798395,0.0726301085709
246,0.651467429812,0.549301723933,0.212565775439,0.0328353690434,0.0733546126232
247,0.651467429812,0.549301723933,0.212565775439,0.0328353690434,0.0733546126232
248,0.643531091617,0.534406498714,0.175249518995,0.0379538247187,0.0768308642905
249,0.651467429812,0.549301723933,0.212565775439,0.0328353690434,0.0733546126232
250,0.651467429812,0.549301723933,0.212565775439,0.0328353690434,0.0733546126232
251,0.651467429812,0.549301723933,0.212565775439,0.0328353690434,0.0733546126232
252,0.650573651971,0.547329395697,0.23079406131,0.0336558963833,0.0716565293966
253,0.651467429812,0.549301723933,0.212565775439,0.0328353690434,0.0733546126232
254,0.651467429812,0.549301723933,0.212565775439,0.0328353690434,0.0733546126232
255,0.651838316032,0.540629546606,0.233911290029,0.0328353690434,0.0713661392941
256,0.653539459301,0.515993157498,0.212140964892,0.0328353690434,0.0733941864849
257,0.648485473519,0.518123359856,0.274039065,0.0353966273884,0.0676279764145
